"ParticipantType" "SegID" "response" "SE" "df" "lower.CL" "upper.CL"
"128" "Patient" "179" 2.34010003766769 0.115493381813801 54 2.1196368879909 2.58349353010308
"129" "Control" "182" 11.4356838406795 0.279900877152778 54 10.888062584952 12.0108480166817
"130" "Patient" "182" 10.8958809433158 0.554704788503805 54 9.8386376183492 12.0667338442772
"131" "Control" "183" 11.490929489004 0.281253074856068 54 10.9406626817092 12.0688722760836
"132" "Patient" "183" 11.2940522984938 0.557407065227448 54 10.2300284096596 12.4687451699226
"133" "Control" "190" 12.4876561473934 0.305649050632552 54 11.8896590327651 13.1157298645651
"134" "Patient" "190" 11.6892762035668 0.595209379344936 54 10.5548437033555 12.945637283083
"135" "Control" "191" 13.5505747623628 0.331665146986459 54 12.9016776023349 14.2321085714584
"136" "Patient" "191" 12.3667763201793 0.65206292781767 54 11.1261955970753 13.7456828993326
"137" "Control" "192" 4.31872013604599 0.10570540171429 54 4.11190933426219 4.5359326038826
"138" "Patient" "192" 4.09769417764549 0.202237746505351 54 3.71164633769231 4.52389480188177
"139" "Control" "193" 4.49052322759487 0.109910470400348 54 4.2754852811958 4.7163766289307
"140" "Patient" "193" 4.51791718426865 0.222977447958132 54 4.09227971732708 4.98782514730983
"141" "Control" "194" 7.17764025726297 0.175680600468194 54 6.8339241817223 7.53864372690453
"142" "Patient" "194" 7.12536349528135 0.362828218194642 54 6.43383615755894 7.89121819340066
"143" "Control" "195" 7.59929969943585 0.186001176777247 54 7.23539159371762 7.98151076881433
"144" "Patient" "195" 7.29194713941947 0.35988702259857 54 6.60496555412138 8.05038158766916
"145" "Control" "196" 3.71405644600393 0.0909055961597538 54 3.53620120943572 3.90085701212248
"146" "Patient" "196" 3.52216568628049 0.173833092546972 54 3.19033895734507 3.88850566898239
"147" "Control" "197" 3.52670877560523 0.0863200568944424 54 3.35782506780178 3.70408658485396
"148" "Patient" "197" 3.4338040979652 0.174810439468512 54 3.10062266739016 3.80278797133585
"149" "Control" "198" 9.14810026475534 0.223909765612622 54 8.71002465648386 9.60820913310714
"150" "Patient" "198" 8.93541959532379 0.440999021570803 54 8.09360483699741 9.86479139425298
"151" "Control" "199" 9.08251989883977 0.222304614386031 54 8.64758474135673 9.53933036565746
"152" "Patient" "199" 9.09529156809168 0.463045812860769 54 8.21274707673055 10.072674579616
"153" "Control" "200" 6.01715298740873 0.147276404507358 54 5.7290092331063 6.31978909453608
"154" "Patient" "200" 5.64908766752281 0.287585271406798 54 5.10096187228931 6.25611252825071
"155" "Control" "201" 5.76657469789906 0.141143226640048 54 5.49043040068824 6.05660782846482
"156" "Patient" "201" 5.37137105109261 0.273489976531009 54 4.85011440348303 5.94864874688242
"157" "Control" "202" 7.62086791325779 0.186529082414678 54 7.25592696923259 8.00416376812907
"158" "Patient" "202" 7.59424324856412 0.37480655569215 54 6.87878204646149 8.3841194747592
"159" "Control" "203" 7.4369722660491 0.182028035194819 54 7.08083754355384 7.81101898550612
"160" "Patient" "203" 7.14556799009712 0.363825400130358 54 6.4521370615027 7.91352406410427
"161" "Control" "204" 2.86761803608262 0.0701880897391929 54 2.73029624477181 3.01184650442708
"162" "Patient" "204" 2.3189452409264 0.114449307211046 54 2.10047510567006 2.56013842577761
"163" "Control" "205" 3.04615427468808 0.0745579595681803 54 2.90028290815815 3.19936232396488
"164" "Patient" "205" 2.67407714219083 0.131976499898019 54 2.42214967765659 2.95220754867044
