"ParticipantType" "SegID" "emmean" "SE" "df" "lower.CL" "upper.CL"
"Control" "102" 0.763907242687796 0.00724494570486347 55 0.749388047042751 0.77842643833284
"Patient" "102" 0.803624414559854 0.0149864237576837 55 0.773590950208108 0.833657878911601
"Control" "103" 0.763670286166058 0.00724494570486338 55 0.749151090521014 0.778189481811103
"Patient" "103" 0.794192691363502 0.0145574071596449 55 0.765018995487 0.823366387240004
"Control" "106" 0.733235503557369 0.00724494570486357 55 0.718716307912324 0.747754699202413
"Patient" "106" 0.739801024696842 0.0145574071596448 55 0.71062732882034 0.768974720573345
"Control" "107" 0.694313764426934 0.00724494570486356 55 0.679794568781889 0.708832960071979
"Patient" "107" 0.705392691363508 0.014557407159645 55 0.676218995487005 0.734566387240011
"Control" "108" 0.5939224600791 0.00724494570486356 55 0.579403264434055 0.608441655724145
"Patient" "108" 0.569106921190713 0.0154912395843936 55 0.538061783314927 0.600152059066499
"Control" "109" 0.612752894861711 0.00724494570486351 55 0.598233699216666 0.627272090506756
"Patient" "109" 0.600550312235198 0.0149865201239875 55 0.570516654761063 0.630583969709333
"Control" "112" 0.702885503557364 0.00724494570486354 55 0.688366307912319 0.717404699202409
"Patient" "112" 0.735497141832584 0.0149864237576836 55 0.705463677480837 0.76553060618433
"Control" "113" 0.701028981818235 0.00724494570486324 55 0.686509786173191 0.715548177463279
"Patient" "113" 0.723109358030171 0.014557407159645 55 0.693935662153668 0.752283053906674
"Control" "114" 0.65586376442693 0.00724494570486366 55 0.641344568781885 0.670382960071975
"Patient" "114" 0.636219159307517 0.0149870838184322 55 0.606184372164471 0.666253946450563
"Control" "115" 0.657761590513887 0.00724494570486331 55 0.643242394868842 0.672280786158931
"Patient" "115" 0.654082216174575 0.0154879391131405 55 0.623043692590986 0.685120739758164
"Control" "120" 0.613646373122584 0.00724494570486341 55 0.599127177477539 0.628165568767629
"Patient" "120" 0.581017691363507 0.0145574071596449 55 0.551843995487004 0.610191387240009
"Control" "121" 0.603770286166062 0.00724494570486347 55 0.589251090521018 0.618289481811107
"Patient" "121" 0.556937341125702 0.0149870838184322 55 0.526902553982656 0.586972128268748
"Control" "122" 0.773326807905191 0.0072449457048635 55 0.758807612260146 0.787846003550236
"Patient" "122" 0.781735918644295 0.0149852219081695 55 0.751704862852798 0.811766974435793
"Control" "123" 0.76392028616606 0.00724494570486342 55 0.749401090521015 0.778439481811105
"Patient" "123" 0.782669001637455 0.0154905292084368 55 0.751625287386899 0.813712715888011
"Control" "128" 0.741378981818233 0.00724494570486333 55 0.726859786173188 0.755898177463277
"Patient" "128" 0.730990953158964 0.0149896593505161 55 0.700951004534281 0.761030901783647
"Control" "129" 0.698778981818236 0.00724494570486354 55 0.684259786173191 0.713298177463281
"Patient" "129" 0.692315585260927 0.0154837833470829 55 0.661285390018626 0.723345780503228
"Control" "132" 0.742822460079105 0.00724494570486342 55 0.72830326443406 0.757341655724149
"Patient" "132" 0.757973704762065 0.0149870838184323 55 0.727938917619019 0.788008491905112
"Control" "133" 0.726009416600842 0.00724494570486331 55 0.711490220955797 0.740528612245886
"Patient" "133" 0.745828344154267 0.0154859227102746 55 0.714793861532322 0.776862826776211
"Control" "134" 0.654996373122582 0.00724494570486356 55 0.640477177477537 0.669515568767627
"Patient" "134" 0.647066921190717 0.0154912395843937 55 0.616021783314931 0.678112059066504
"Control" "135" 0.680022460079103 0.00724494570486334 55 0.665503264434058 0.694541655724147
"Patient" "135" 0.674936775821541 0.0149874370066827 55 0.644901280873424 0.704972270769658
