"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"ParticipantTypePatient:SegID34" 0.0136710353626041 0.0279307552308212 4680 0.489461715217721 0.624537792407731
"ParticipantTypePatient:SegID35" -0.0166172942619684 0.0268675089912933 4680 -0.618490321054826 0.53628227561839
"ParticipantTypePatient:SegID36" 0.0426755488449025 0.0279330516720525 4680 1.52777968357822 0.126634827211537
"ParticipantTypePatient:SegID37" -0.0208785566682791 0.026867203933601 4680 -0.777101953738018 0.437137898056866
"ParticipantTypePatient:SegID38" 0.0111175675500443 0.0279308793444648 4680 0.398038579914869 0.69061990336481
"ParticipantTypePatient:SegID39" 0.0124672245387544 0.027928754445064 4680 0.446393861325879 0.655333419349358
"ParticipantTypePatient:SegID40" 0.0128699680853991 0.026869480284399 4680 0.478980908792335 0.631974588306259
"ParticipantTypePatient:SegID41" -0.0229706996752319 0.0259493311629727 4680 -0.885213554483013 0.376086941237958
"ParticipantTypePatient:SegID42" -0.00530004141920305 0.0259493311629721 4680 -0.20424578136202 0.838170318057335
"ParticipantTypePatient:SegID43" -0.0325588181539651 0.026868967540949 4680 -1.21176290470948 0.225664328380326
"ParticipantTypePatient:SegID44" 0.00160255314316534 0.0259493311629722 4680 0.0617570115044843 0.950758975098696
"ParticipantTypePatient:SegID45" -0.015890918231756 0.0259493311629726 4680 -0.612382574793717 0.540314419824526
"ParticipantTypePatient:SegID46" 0.030800292522791 0.0259493311629724 4680 1.18693974535808 0.235311633447477
"ParticipantTypePatient:SegID47" -0.061453741814452 0.0268675089912939 4680 -2.28728840602102 0.0222234214280523
"ParticipantTypePatient:SegID48" -0.00543206437909632 0.0259493311629726 4680 -0.209333502469898 0.834197011007791
"ParticipantTypePatient:SegID49" -0.0139882814709988 0.027930365340582 4680 -0.500827013912139 0.616516424636146
"ParticipantTypePatient:SegID50" 0.0160105728985628 0.0279303653405813 4680 0.573231774927781 0.566515314199137
"ParticipantTypePatient:SegID51" -0.0256950662553405 0.0279301882062422 4680 -0.919974690668137 0.357633400786044
"ParticipantTypePatient:SegID52" 0.00552045987408958 0.0268670423504449 4680 0.205473300785494 0.83721129247924
"ParticipantTypePatient:SegID53" -0.0460317751085677 0.0268675089912936 4680 -1.71328779022589 0.0867258355905939
"ParticipantTypePatient:SegID54" 0.00897987890898934 0.0268689054369019 4680 0.33421081964345 0.738235455305837
"ParticipantTypePatient:SegID55" 0.0283271603168834 0.0279313766407373 4680 1.01416985926747 0.31055413574304
"ParticipantTypePatient:SegID56" 0.0382202906653056 0.0268694802843992 4680 1.4224424983574 0.154964478758831
"ParticipantTypePatient:SegID57" -0.00854980755181396 0.0259493311629727 4680 -0.329480844732281 0.741807014865471
"ParticipantTypePatient:SegID58" 0.00412481488949635 0.0259493311629731 4680 0.158956501174952 0.873710003883548
"ParticipantTypePatient:SegID59" 0.0119086400441617 0.026867042350445 4680 0.443243431443969 0.657610155601702
"ParticipantTypePatient:SegID60" 0.00311216978170304 0.0268670423504446 4680 0.115835965161664 0.907787516108733
"ParticipantTypePatient:SegID61" 0.00411380294107865 0.0279284095828135 4680 0.147298145599031 0.882903041093246
"ParticipantTypePatient:SegID62" 0.00579888811022764 0.0268670423504453 4680 0.215836489725544 0.829124609956836
"ParticipantTypePatient:SegID63" -0.0179741178704137 0.0259493311629728 4680 -0.692662086646031 0.488556005127851
"ParticipantTypePatient:SegID64" 0.0206798243666575 0.0279307552308217 4680 0.740396176034554 0.459096780514359
"ParticipantTypePatient:SegID65" -0.0372584097118304 0.0259493311629726 4680 -1.43581387427029 0.151122143911951
"ParticipantTypePatient:SegID66" -0.00833377285519821 0.0259493311629731 4680 -0.321155593678252 0.748106822871833
"ParticipantTypePatient:SegID67" -0.0059446863367912 0.0259493311629728 4680 -0.229088229652473 0.818810351807779
"ParticipantTypePatient:SegID68" 0.0332621218402181 0.0259493311629727 4680 1.28181037234902 0.199972672097656
"ParticipantTypePatient:SegID69" -0.029019200204731 0.0268689675409491 4680 -1.0800266203197 0.280185980796331
"ParticipantTypePatient:SegID70" 0.00302486920391386 0.0259493311629728 4680 0.11656829168029 0.907207167609117
"ParticipantTypePatient:SegID71" -0.0277314525243794 0.0268686000856599 4680 -1.03211378471408 0.302072149806965
"ParticipantTypePatient:SegID72" 0.0104081913159805 0.0279303653405814 4680 0.372647875853521 0.709427410223333
"ParticipantTypePatient:SegID73" -0.0454093452477772 0.0259493311629728 4680 -1.74992353223238 0.080197043197639
"ParticipantTypePatient:SegID74" -0.0206870367174588 0.0259493311629729 4680 -0.797208860125732 0.425370184068813
"ParticipantTypePatient:SegID75" -0.0418390179761895 0.0268675089912934 4680 -1.55723472502597 0.119482383300113
"ParticipantTypePatient:SegID76" 0.0146850351949986 0.025949331162973 4680 0.565911895870081 0.571480806524675
"ParticipantTypePatient:SegID77" 0.000328587115055776 0.0259493311629731 4680 0.0126626429402787 0.989897482427833
"ParticipantTypePatient:SegID78" 0.021092965790958 0.0268689054369017 4680 0.785032566380207 0.432474211836059
"ParticipantTypePatient:SegID79" -0.0364370569825045 0.0259493311629728 4680 -1.40416170088024 0.160337060735685
"ParticipantTypePatient:SegID80" 0.00278419676950462 0.0268672039336016 4680 0.103628080405589 0.917468942934293
"ParticipantTypePatient:SegID81" -0.0117004344407912 0.0268685200824458 4680 -0.435470000018183 0.663241392379138
"ParticipantTypePatient:SegID82" 0.0123200588523644 0.0268670423504448 4680 0.458556572460254 0.646573921425171
"ParticipantTypePatient:SegID83" -0.0560249390880796 0.0259493311629726 4680 -2.15901283683266 0.0308998348426776
"ParticipantTypePatient:SegID84" -0.0477030801413135 0.0268670423504448 4680 -1.77552406100717 0.0758763674516281
"ParticipantTypePatient:SegID85" -0.00336633719414852 0.0259493311629725 4680 -0.12972732025371 0.896787741810322
