"Variables" "Value" "Std.Error" "DF" "t.value" "p.value"
"46" "SegID44" 0.466546454254303 0.00738112626964552 4680 63.2080304834982 0
"47" "SegID45" -0.0844976097404713 0.00738112626964524 4680 -11.4477935552961 6.01897114353474e-30
"48" "SegID46" -0.0928690735463943 0.00738112626964538 4680 -12.5819651573114 9.99133111523807e-36
"49" "SegID47" -0.208401063671826 0.00738112626964522 4680 -28.2343176445676 4.33760507996639e-162
"50" "SegID48" -0.207337113401642 0.00738112626964537 4680 -28.0901729393669 1.40171455470015e-160
"51" "SegID49" 0.0356442331591647 0.0073811262696455 4680 4.8291049166507 1.41522989081411e-06
"52" "SegID50" -0.00351076119450565 0.00738112626964541 4680 -0.475640311011006 0.634352851238059
"53" "SegID51" 0.295089966298962 0.00738112626964531 4680 39.9789890483939 6.09975014815326e-301
"54" "SegID52" 0.305687027636994 0.00738112626964542 4680 41.4146861156027 1.07824886548394e-319
"55" "SegID53" -0.333348796343552 0.00738112626964547 4680 -45.1623213268188 0
"56" "SegID54" -0.355697668174164 0.00738112626964529 4680 -48.1901616609598 0
"57" "SegID55" -0.260040373019596 0.00738112626964529 4680 -35.2304463465157 2.21280917492007e-241
"58" "SegID56" -0.200075884375902 0.00738112626964531 4680 -27.1064166994011 1.99650562961548e-150
"59" "SegID57" -0.258618027226934 0.00738112626964552 4680 -35.03774597252 4.71486401717723e-239
"60" "SegID58" -0.286300087839362 0.00738112626964535 4680 -38.7881303449262 1.23844095693833e-285
"61" "SegID59" -0.211998699806647 0.0073811262696453 4680 -28.7217278314945 3.11246745805676e-167
"62" "SegID60" -0.183080698729082 0.00738112626964554 4680 -24.8038974054666 1.04153224751451e-127
"63" "SegID61" 0.19893556366846 0.00738112626964546 4680 26.9519252754926 7.43106767573509e-149
"64" "SegID62" 0.198145641383868 0.00738112626964545 4680 26.8449060678901 9.02247313432739e-148
"65" "SegID63" -0.387618499995697 0.00738112626964534 4680 -52.5148176355912 0
"66" "SegID64" -0.333941604393322 0.00738112626964558 4680 -45.2426353640143 0
"67" "SegID65" 0.20326777677448 0.00738112626964556 4680 27.538856449375 7.39523231188608e-155
"68" "SegID66" 0.26045466097275 0.0073811262696455 4680 35.286574359777 4.62721981856492e-242
"69" "SegID67" -0.389944473788492 0.00738112626964552 4680 -52.8299421447533 0
"70" "SegID68" -0.377533401828577 0.00738112626964539 4680 -51.1484816864831 0
"71" "SegID69" 0.301790414583935 0.00738112626964538 4680 40.8867703327387 9.21867519630329e-313
"72" "SegID70" 0.293195310801237 0.00738112626964547 4680 39.7222998347812 1.27157569628374e-297
"73" "SegID71" 0.321000167492816 0.00738112626964539 4680 43.4893207033888 0
"74" "SegID72" 0.357815703834261 0.0073811262696454 4680 48.4771145706807 0
"75" "SegID73" -0.134781199671654 0.00738112626964537 4680 -18.2602484699302 5.15478048117611e-72
"76" "SegID74" -0.114701837627828 0.00738112626964537 4680 -15.5398828630714 3.88393700727273e-53
"77" "SegID75" 0.101177873061272 0.00738112626964548 4680 13.7076469586168 5.84989136636142e-42
"78" "SegID76" 0.134581817193067 0.00738112626964546 4680 18.2332359963179 8.17803034875104e-72
"79" "SegID77" -0.177236486959182 0.00738112626964544 4680 -24.0121196257079 2.98693099866535e-120
"80" "SegID78" -0.176494611112249 0.00738112626964542 4680 -23.9116097821109 2.56151113392071e-119
"81" "SegID79" 0.212040640062839 0.00738112626964551 4680 28.7274099258869 2.70877111445457e-167
"82" "SegID80" 0.212907013455932 0.00738112626964548 4680 28.8447867815921 1.52969165024254e-168
"83" "SegID81" 0.0134823011328198 0.00738112626964544 4680 1.82659131415556 0.0678249085778623
"84" "SegID82" -0.00454287293429075 0.00738112626964544 4680 -0.615471510489275 0.538273305915743
"85" "SegID83" 0.0993477817316011 0.00738112626964544 4680 13.4597049423425 1.52017460640814e-40
"86" "SegID84" 0.0808254441351537 0.00738112626964543 4680 10.950286065088 1.42742795729613e-27
"87" "SegID85" -0.297610845220728 0.00738112626964538 4680 -40.3205194368022 2.2547300855439e-305
"88" "SexF" -0.048356305564753 0.00889609023649217 55 -5.43568065062933 1.28734581411475e-06
"89" "ParticipantTypePatient:SegID1" 0.02436863423656 0.0174760052190409 4680 1.3944052963551 0.16326143757358
"90" "ParticipantTypePatient:SegID2" -0.0216487905863817 0.0162351592982017 4680 -1.33345107299192 0.18244871875179
"91" "ParticipantTypePatient:SegID3" -0.00201195311408846 0.0162351592982017 4680 -0.123925677422291 0.901379443930244
"92" "ParticipantTypePatient:SegID4" 0.000200143269176904 0.0217372859127073 4680 0.00920737160934631 0.992654076588738
"93" "ParticipantTypePatient:SegID5" 0.00734110968545152 0.0182555465200702 4680 0.40213037048114 0.687606446794474
"94" "ParticipantTypePatient:SegID6" -0.0149264834850897 0.0174746129174228 4680 -0.854181065733793 0.393048392488259
"95" "ParticipantTypePatient:SegID7" 0.0243947103132655 0.0174749326271095 4680 1.39598308238517 0.162785805670945
"96" "ParticipantTypePatient:SegID8" 0.0207047219897702 0.0203143929274485 4680 1.01921440939514 0.308153871241802
"97" "ParticipantTypePatient:SegID9" 0.0115778932058979 0.020317638891993 4680 0.569844422742482 0.568810574732457
"98" "ParticipantTypePatient:SegID10" 0.0212020191596405 0.0162351592982017 4680 1.30593231456552 0.191639761581341
"99" "ParticipantTypePatient:SegID11" 0.0116680770723627 0.0168104658788573 4680 0.694095996889521 0.4876564598865
